,Sample_3266.CB.1,Sample_3266.CB.10,Sample_3266.CB.102,Sample_3266.CB.103,Sample_3266.CB.104,Sample_3266.CB.106,Sample_3266.CB.107,Sample_3266.CB.108,Sample_3266.CB.109,Sample_3266.CB.110,Sample_3266.CB.12,Sample_3266.CB.146,Sample_3266.CB.15,Sample_3266.CB.18,Sample_3266.CB.180,Sample_3266.CB.182,Sample_3266.CB.183,Sample_3266.CB.189,Sample_3266.CB.19,Sample_3266.CB.20,Sample_3266.CB.206,Sample_3266.CB.207
TSPAN6,-0.881087874,-0.006181378,-2.29388177,-0.215143332,-0.740703556,0.99827505,0.053724388,0.58309718,0.185613008,-0.394376015,-1.174733045,-0.831151206,0.461860529,0.641881423,0.587318879,-0.025156663,-0.35079426,0.102232559,0.254353943,-0.424447306,-3.050019312,-0.075612265
TNMD,-3.768613145,-1.391835071,-3.516274191,-4.122033927,-4.58200581,-1.896838378,-2.784994705,0.999722677,-1.844975312,-2.71630411,-2.759695546,-2.075076789,-3.606619209,-0.109091029,-2.872112739,-3.422749028,-3.324799051,-1.657816648,-6.800928493,-3.483340995,-2.156934516,-0.606126982
DPM1,-0.664276485,-1.488050386,-2.779308597,-1.619533587,-2.260077715,-0.654477541,-0.870724579,1.170176622,-1.616706324,-1.652173773,-1.479587627,-1.5681168,-0.71045502,-0.28342121,-2.365152751,-1.508478902,-0.15487405,-1.326610739,-1.671645476,-1.699069686,-1.333812278,-0.265090064
SCYL3,-2.003078398,-2.098103868,0.184165527,-0.752800117,-2.997043309,-0.015985644,-2.093117001,-1.221083494,-1.246337874,-1.046452712,0.73673028,-0.896739547,-0.50975767,-1.029237722,-3.660608634,-2.875261233,-1.488297784,0.017343662,-3.993573571,-1.523982979,-0.12945378,-0.265090064
C1orf112,-3.768613145,-2.886599762,-2.29388177,-2.247564809,-4.58200581,-3.166927542,-6.485434423,-7.243451307,-3.273818611,-6.175735729,-2.397125466,-4.738041801,-6.776544211,-4.72967744,-4.798112158,-7.123188746,2.904019639,-2.524550117,-6.800928493,-4.331337901,-2.687449233,-2.638548459
FGR,-2.003078398,-1.136578015,0.108216674,0.125893586,-1.643406354,-2.300194073,-3.026002805,-3.543011589,-2.886795488,-6.175735729,-0.812162966,-1.193721285,1.703236053,-2.964142693,-3.950115251,-2.078794627,-3.810225879,-4.290084863,-2.713465651,-1.523982979,-1.465056812,0.820883159
CFH,6.251255533,2.242683255,1.887447995,7.306151744,2.88559974,6.670885876,1.508919013,2.979343596,1.606942253,1.807257846,5.623391551,6.209108069,3.227676256,2.952614932,7.693390241,7.603189089,8.240507071,8.856897406,2.449369925,2.812300409,6.839376002,3.002682261
FUCA2,-1.698223817,-0.731321537,-1.194346096,-2.899641506,-1.774650888,-2.499502881,3.120045095,-1.885899302,-2.116277334,-1.652173773,-3.245122373,-1.930686879,-2.689081369,-1.69405353,-2.165843942,-2.168992436,-1.274172978,-0.104218318,-1.846732182,-1.795285001,-3.535446139,-1.454123888
GCLC,-2.920616238,-6.346031381,-2.29388177,-4.122033927,-3.845040216,-4.932462288,-4.163506329,-7.243451307,-4.166903407,-4.590773228,-2.759695546,-4.001076207,-6.776544211,-7.051605535,-7.120040253,-7.123188746,-3.324799051,-4.290084863,-6.800928493,-3.483340995,-3.050019312,-2.638548459
NFYA,-0.805139021,-0.919766626,2.282467601,0.668043003,-0.809416306,-7.254390383,-2.23750691,-2.995523793,-2.450696373,-1.783418306,-0.437767451,-2.075076789,-3.606619209,-2.964142693,-4.312685331,-2.479332557,0.497202647,-1.754031963,-3.341496874,-1.699069686,-1.609446721,0.867804207
STPG1,3.465964815,4.970815803,6.704104136,5.230377392,5.35315924,5.679484654,4.605339631,5.552791141,4.639070726,4.621115067,4.045818029,2.756480482,5.225215818,4.93885303,5.065144914,5.07924122,5.838311467,6.984526246,5.365548458,5.429880875,3.579337308,6.025818013
NIPAL3,-6.090541239,-2.645591663,-5.101236692,-1.619533587,-1.643406354,-2.610534193,-6.485434423,-2.199057188,-2.330402139,-2.47529601,-1.660159872,-1.679148112,-1.918563215,-3.592173916,-3.419600535,-1.01466429,-4.547191473,-1.754031963,-2.157072303,-3.193834378,-3.535446139,-3.776051983
LAS1L,-1.04614712,-1.953713958,-3.516274191,-4.122033927,-2.707536692,-1.762537287,-3.026002805,-0.868411876,-2.219370827,-2.088272887,-1.319122954,-2.075076789,-2.021656708,-2.803678021,-2.872112739,-1.01466429,-0.35079426,-1.326610739,-1.309075396,-2.565803155,-0.903177924,-1.850052564
ENPP4,-1.335653737,-0.196284262,-2.29388177,-1.314679005,-0.881566092,-0.567889856,-0.870724579,0.224154243,-0.344901709,-0.394376015,-0.357597102,-0.133179743,0.383327126,-1.379180193,-0.064757817,1.315603106,0.467758869,1.201768233,-0.231072884,-1.443812631,0.332450325,-0.215337029
SEMA3F,0.479314369,0.49945867,0.028046325,0.020924027,0.601216014,1.770749179,-0.181653675,0.901206936,0.787292904,0.644443234,1.652118053,1.411705318,1.447457464,0.261277421,0.896768035,1.700178494,0.609313013,2.217709777,1.489090354,-0.053353154,2.102627698,1.862021854
CFTR,-0.881087874,-2.645591663,-1.93131169,-1.800105832,-2.260077715,-2.209996264,-2.578543828,-1.958049088,-2.116277334,-2.088272887,-0.437767451,-2.075076789,-1.104118869,-2.19362454,-2.262059258,-0.68024525,-0.023629517,-1.968156768,-1.019568779,-1.295713992,0.884092752,-0.370059623
ANKIB1,-0.881087874,0.619752904,-0.708919269,0.074363286,-0.189688387,-0.778656952,-0.256615733,-0.673595699,-0.599218897,-1.131341609,0.622774091,0.27690854,0.589778004,-1.766203316,-0.29986129,0.439053678,0.497202647,-0.072854147,-0.231072884,-1.608871877,0.552016702,0.696435788
CYP51A1,1.91508331,2.0505734,1.165549849,0.86285918,2.238173153,1.748424633,1.208052534,2.016291957,2.503499938,1.460888892,1.995191956,2.380899271,2.203595367,2.657478278,3.362767704,3.116409783,2.716468967,1.826778894,2.410959802,0.74761344,2.522004133,2.066926849
KRIT1,-2.631109621,-2.886599762,-1.013773851,-2.00655671,-1.037685294,1.026380387,-3.026002805,-7.243451307,-3.804333327,0.618680138,-1.319122954,-1.278610183,-4.454616116,-4.72967744,-7.120040253,-3.035725905,-1.608592017,-1.657816648,-3.993573571,-2.952826278,-1.609446721,-2.010517237
RAD52,-6.090541239,-6.346031381,-5.101236692,-2.247564809,-4.58200581,-0.567889856,-6.485434423,-7.243451307,-6.974258329,-3.853807634,-5.567050468,-4.001076207,-6.776544211,-7.051605535,-5.535077752,-2.168992436,-6.132153973,-6.612012958,-4.479000398,-0.770622947,-1.950483639,-3.776051983
MYH16,-1.136344929,-2.645591663,-1.013773851,-1.314679005,-1.774650888,1.497153676,-4.163506329,-2.719889351,-2.330402139,-3.005810727,-1.660159872,-1.193721285,-4.454616116,-7.051605535,-7.120040253,0.484141567,-2.962228972,-6.612012958,-1.756534373,-0.083410388,-0.24266439,-1.705662655
BAD,-0.535952388,-2.886599762,-1.013773851,-1.314679005,-2.079505469,2.263279005,-2.397971582,-4.073526305,-1.68885611,-2.268845133,-0.209498463,-1.278610183,-2.021656708,-3.592173916,-2.476184063,3.764793387,-0.404233519,-5.027050457,-3.100488775,0.526643094,-0.12945378,-1.574418122
LAP3,2.171553606,-0.673606039,-1.93131169,1.211866809,-0.334078296,5.14462045,0.965776688,-0.800507811,1.240060792,-0.89033351,1.850802047,2.188748352,-0.118332728,-1.842152169,-1.628187157,6.13139703,2.807425241,-3.442087957,0.093889271,4.849068584,2.746252111,-0.968697061
CD99,5.257633628,5.738444856,3.650307367,5.021774422,5.998252758,5.557586311,5.440490842,5.518307672,5.843724598,4.813658771,4.403055423,6.783067842,5.790698895,4.836757206,6.496623451,7.346135094,5.496747179,5.261046589,6.768808468,5.961673851,4.831750171,5.961702369
HS3ST1,0.828321998,1.590606558,0.57118865,0.315371385,1.071436429,1.685188831,0.40938334,2.151011388,1.352171158,0.857687273,1.174416518,2.115787551,1.549885277,0.824911412,1.3187516,3.167981953,1.780735363,1.923262418,2.009643142,1.842589031,0.073363103,1.020960995
AOC1,1.007490844,1.530485565,1.048510428,0.482828131,1.090419532,0.584813405,-1.127882419,-0.868411876,-0.079440566,0.299997702,0.972108343,2.164835732,-0.035077224,1.238413312,0.768702996,3.670414563,0.171626775,1.448682974,1.302359316,1.599399436,0.482475769,1.994777063
WNT16,-0.732989235,-0.513141367,0.626683763,0.401528029,-0.144600497,-2.044937017,-1.730546921,-3.336560711,-0.824511209,-1.131341609,0.661768223,1.160811475,-6.776544211,-2.407749345,-4.798112158,1.129476686,-0.922700608,-2.705122363,-0.918285443,-0.722528659,0.829126293,0.010544379
HECW1,-0.881087874,-1.060629162,-1.194346096,-1.063140238,-2.260077715,-1.968988164,-1.627453428,-0.277667022,-1.929864209,-1.783418306,-1.043488512,-0.056217761,-3.317112592,-1.120868197,-3.950115251,1.693794877,-0.922700608,-1.120159862,-1.515526274,-0.925345542,-0.12945378,-1.574418122
MAD1L1,-0.598688143,2.235169201,-0.147040382,-1.183434472,-0.612379459,1.080999972,-1.275981058,2.076220814,0.787292904,0.363423083,-1.479587627,-0.133179743,1.686980163,1.990053617,1.044866674,2.965599492,3.686428204,0.788866478,0.96062274,0.060979521,-0.999393239,-2.928055076
LASP1,5.159164818,7.051509564,3.602666882,6.414213289,4.997310128,2.921782766,5.15435847,3.357390807,4.61959961,6.553247641,4.049498376,9.154848809,6.268703524,6.19972893,7.329946625,7.082528152,6.513279302,3.515981363,7.164945958,7.633075172,5.13060029,4.611965302
SNX11,7.302983291,7.308268994,4.518983134,7.013034019,7.980634128,7.973563934,7.108073418,6.972005855,7.381712112,5.745733332,6.535253349,8.96920947,8.802919054,7.644438284,7.96439446,9.775093781,6.566767689,8.2053205,8.335942497,9.526662527,5.979070677,8.36726745
TMEM176A,1.1478635,3.198933052,-0.243255697,0.702394508,-0.144600497,-0.114839031,-1.127882419,-0.735656667,-0.951890516,-0.025988609,1.932795419,1.900997372,0.624335226,-0.156787771,0.228687901,2.866915218,3.312860872,1.976701677,-0.734839302,1.450021812,2.573078317,-0.888526712
M6PR,-1.44668505,-0.323663568,-0.34634919,-2.537071426,-2.466528592,-4.084465381,-2.397971582,0.407600384,-2.020062018,-2.088272887,0.265839546,-0.133179743,-3.317112592,-1.32368508,-0.490683633,-2.730871324,-0.35079426,-3.442087957,-2.277366537,-0.925345542,-0.999393239,-1.454123888
KLHL13,2.967450483,3.147824068,1.556974791,2.353699504,2.83021117,2.525328972,2.272788791,3.147792283,2.77895842,2.843855,2.888276752,4.06608922,3.698175736,1.934236402,2.995003397,4.23710968,3.650844235,3.523696328,4.420054358,3.453951079,2.867139619,2.769298662
CYP26B1,-1.232560244,-2.645591663,-2.29388177,-0.849015433,-1.523112121,-3.166927542,-2.578543828,-3.155988466,-2.330402139,-2.71630411,-2.397125466,-1.113550936,-6.776544211,-7.051605535,-7.120040253,-2.59962679,-2.962228972,-4.290084863,-4.479000398,-2.952826278,-0.812980115,-3.776051983
ICA1,-3.283186317,-4.76106888,-3.516274191,-2.899641506,-6.16696831,-3.794958764,-4.163506329,-3.155988466,-6.974258329,-4.590773228,-5.567050468,-2.622564584,-3.317112592,-5.466643034,-4.312685331,-2.730871324,-6.132153973,-2.524550117,-3.993573571,-4.331337901,-5.857374234,-4.513017577
DBNDD1,-6.090541239,-6.346031381,-5.101236692,-5.706996428,-3.845040216,-3.553950665,-3.678079501,-3.155988466,-4.166903407,-6.175735729,-5.567050468,-4.001076207,-3.606619209,-7.051605535,-2.596478297,-2.078794627,-4.547191473,-2.91157324,-3.631003491,-6.653265996,-5.857374234,-4.513017577
ALS2,-6.090541239,-4.76106888,-3.516274191,-5.706996428,-2.997043309,-2.730828427,-4.900471923,-4.073526305,-2.886795488,-4.590773228,-5.567050468,-2.863572683,-3.969189288,-5.466643034,-2.596478297,-2.479332557,-4.547191473,-1.185748203,-2.277366537,-4.331337901,-5.857374234,-6.097980078
CASP10,0.017983217,0.12970205,-0.147040382,-0.752800117,-1.523112121,0.622126564,-2.578543828,0.436028793,-0.232791342,0.332058912,0.499038723,1.025723852,0.86008041,-1.270245821,0.174580496,1.081382398,0.901269028,2.077985013,0.714771346,-0.675986073,-2.156934516,0.277059353
CFLAR,-0.535952388,-0.988479376,0.108216674,-2.247564809,-1.308987315,-7.254390383,-4.900471923,-7.243451307,-2.886795488,-1.221539418,0.410229456,0.445180023,-6.776544211,-7.051605535,-4.798112158,-3.422749028,-0.299263959,-4.290084863,-2.277366537,-2.565803155,-0.903177924,-1.705662655
TFPI,-0.805139021,0.12970205,0.028046325,-0.849015433,-0.494542968,-1.277110459,-1.441040304,-1.817186552,-0.670477581,-0.244998391,0.807988963,1.790737864,-0.799264287,-1.497016683,-0.02200817,1.851225843,-0.846751755,0.90368688,1.612699436,0.033234531,-0.076014521,-0.215337029
NDUFAF7,0.138277451,1.818875546,1.556974791,-3.385068333,-0.675115214,0.546509517,-0.419345233,-1.093704187,0.144682744,1.517751229,-0.209498463,1.976203716,0.461860529,-0.337360017,3.528317329,0.171432003,3.823495934,-1.402559593,-2.713465651,1.283371943,-0.571972015,-1.574418122
RBM5,0.176245301,0.548786382,1.202544056,-1.063140238,-0.809416306,-0.512923397,1.045947037,0.42188461,1.008735246,1.023936616,1.032862374,1.967014545,1.124322597,0.046426548,1.854374337,1.290439183,2.238533433,-1.120159862,0.378980597,1.235477253,-0.365521138,-0.543391226
MTMR7,5.753772222,6.084682505,4.871743094,4.761627615,6.120455501,5.999013946,5.459643572,5.900091347,6.114695499,5.73902311,5.068667652,7.060024919,6.84836545,5.349007106,6.747914109,7.0834441,6.88308683,5.435451815,6.97272587,6.725435272,5.993203313,5.765044632
SLC7A2,3.427128149,3.266837116,2.156151151,2.5644666,3.485876663,3.470975875,3.401786192,2.783072136,3.937882527,3.111976651,2.345838868,4.891921886,4.151974165,2.535234253,4.74065878,5.257542866,4.008675797,3.574101281,4.734832885,4.609416146,2.731340401,2.725387162
ARF5,2.123777881,0.096912115,-1.194346096,-1.063140238,0.136812438,1.765200345,-0.602791374,-4.921523212,-0.908169138,-0.244998391,0.499038723,1.821653941,0.043634752,-3.881680533,-1.237397204,0.915730243,2.665507552,-2.088451002,-0.870191155,2.326873581,0.650420406,-0.265090064
SARM1,-0.881087874,-3.17610638,-1.400796974,-2.00655671,-1.919040797,-1.639680539,-2.397971582,-2.599595117,-4.652330234,-3.005810727,-1.043488512,-1.037602083,-1.8223479,-7.051605535,-1.990757236,-0.32877288,-1.739836551,-2.705122363,-1.671645476,-2.260948573,-0.903177924,-1.454123888
POLDIP2,5.647973293,5.247826558,3.759850214,3.70874534,4.849143528,4.907056465,4.234809835,4.633449284,4.992607572,5.293397291,4.737871202,6.133093383,5.37542366,3.737112798,5.37206329,6.289513403,6.650639525,4.553522183,6.242269716,5.828281194,5.333067784,4.692368419
PLXND1,-0.805139021,-0.513141367,-2.29388177,-2.247564809,-0.740703556,-0.625033763,-0.993581327,-0.704292496,-1.68885611,-0.818183724,-0.357597102,1.12820681,-0.995184497,-4.72967744,-1.505330409,0.542147171,0.407004838,1.081473999,-1.591475127,-0.424447306,-1.333812278,-1.343092576
AK2,3.974201525,1.925431647,0.731653322,1.061187897,3.078584396,3.63359175,2.517380592,1.228223907,0.719228629,2.821443752,3.136853106,4.139497971,1.750932796,-0.481749926,1.541737845,3.694594375,4.217680118,3.815299886,1.749818293,4.729898264,1.642471653,0.772384642
CD38,3.536992645,3.876763522,2.156151151,2.477878915,3.06425287,3.216268491,2.980131981,4.252903182,3.151155142,2.827079287,2.846577461,3.944952782,3.051592274,2.734664093,3.837787308,5.394726647,4.163614961,4.41381871,3.679861708,3.731517754,2.606150139,2.927159484
FKBP4,3.488774698,4.465343312,2.078672398,1.605886527,3.423618739,2.148621641,2.706858391,2.972081693,3.106559199,3.045851393,2.73215755,3.778971369,3.216394126,0.976300462,3.637349756,4.001578789,5.33085944,2.849466489,4.801306409,3.505343692,2.404720611,3.18046938
KDM1A,5.618111596,6.37869562,4.368405125,4.761627615,6.370007355,5.190365707,5.473480733,5.237591268,5.67522241,5.086946414,4.542780186,6.37981771,6.066395349,4.709530115,5.873782684,6.595237101,6.267390993,5.722539676,7.044855556,6.13402443,6.000218051,6.028401753
RBM6,-1.232560244,-0.731321537,-1.641805073,-1.619533587,-1.308987315,-0.879350952,-1.059169669,-0.939670559,-0.498524898,-1.783418306,-1.043488512,-0.965452297,-0.799264287,-1.69405353,-1.053951062,1.238755027,-1.377266471,0.822615269,-0.611103934,-1.699069686,-0.728091217,-0.370059623
CAMKK1,3.465964815,4.375922232,1.528119928,2.437661815,4.140232499,3.006529151,3.590044726,3.196379577,3.856256878,3.093390951,2.181142382,5.181318146,4.7562987,3.526767157,4.640263872,5.087786931,4.630228065,4.237392143,5.160159397,4.317558905,2.170531762,4.148760521
RECQL,0.249308763,-1.488050386,0.45335216,-2.247564809,-0.675115214,-1.968988164,-1.841578234,-1.093704187,-1.929864209,0.233655208,-0.209498463,2.115787551,0.256878791,0.540851503,0.228687901,-1.993905729,0.688024989,1.053322959,-1.942947498,0.060979521,-0.728091217,-2.191089482
VPS50,4.457317267,5.145320692,2.686665867,3.670214103,5.395751117,4.645344159,5.040575684,4.474653406,4.997644417,4.054284707,3.797084187,5.740053662,5.565252562,4.240140746,5.691133718,6.713552011,5.164188711,5.609876203,6.024229062,5.748946676,2.818582799,4.962040277
HSPB6,2.405313787,-0.988479376,1.909990563,1.744214684,3.044919984,6.452213553,2.545232713,2.437787105,5.030313286,4.529032511,1.466372534,3.054206228,4.748487135,1.219857493,4.288820183,6.443222115,5.131702046,2.837135687,2.880309919,5.384624089,1.610231316,2.535015119
ARHGAP33,4.981591365,5.883688712,3.378543572,4.114777554,5.76635351,4.670051009,4.645779482,5.151815043,5.415641844,5.00106075,4.332306455,6.050676531,6.21338242,4.471466292,6.150401088,6.181875475,6.96998578,4.375961566,6.948207672,5.375676047,5.477457694,5.034519652
NDUFAB1,6.710156475,6.585998777,4.685032936,5.185546389,6.975936477,6.375990515,6.12120212,6.425101323,6.360992439,5.383163253,6.474950838,6.389737625,6.973848748,5.363872173,5.976180743,7.914572674,7.648898315,7.38701811,7.466516596,6.66880298,6.587381855,6.436079579
PDK4,2.945632373,3.716014757,2.282467601,2.983001544,3.738418695,3.329632557,3.074898411,3.464770423,3.744274547,3.369228704,2.920789566,4.669225963,4.392754485,2.564943309,4.25879646,4.822620839,4.784471949,3.441912923,4.948521973,4.092408328,3.989683112,3.458525977
SLC22A16,5.104830968,5.447978264,3.838342522,3.782851533,4.980872583,4.684086556,4.381071789,5.069148072,5.338908147,5.327593128,4.64118389,6.044137393,5.697922254,4.170585604,6.224671757,6.058118831,7.213112653,4.312057227,6.797938202,5.609122528,6.620131083,4.596377809
ZMYND10,0.538815381,1.276020438,0.390616404,0.668043003,1.163948568,1.107553391,0.694474667,0.122870907,0.839522862,0.694628991,1.00280514,1.565738947,1.112199038,0.261277421,1.160730517,1.332138474,1.575205159,1.946407755,1.353889616,0.659616959,2.307532692,2.938193535
ABCB5,3.159757178,4.256667484,2.991520449,1.929628193,4.144780005,3.857397353,5.653157371,-1.13492685,5.745344399,2.220869053,2.741288562,5.81878354,5.089575583,-1.218715521,2.252824807,4.018279809,4.699944873,4.061296117,6.73227955,5.242687897,2.513313172,3.651889349
ARX,-1.698223817,-1.301637262,-5.101236692,-0.952108926,-1.643406354,0.292504077,-0.757513969,-3.543011589,-1.616706324,-1.317754733,-3.245122373,-0.173257182,-1.732150091,-5.466643034,-0.274550202,-0.493832126,0.437701635,-0.012100116,1.702897245,-0.023909376,-0.24266439,-0.031890887
SLC25A13,-3.768613145,-3.538676459,-3.516274191,-4.122033927,-3.359613388,-2.499502881,-2.784994705,-7.243451307,-1.68885611,-3.853807634,-0.923194278,-4.738041801,-4.454616116,-7.051605535,-7.120040253,-7.123188746,-2.431714255,-3.15258134,-0.77856068,-3.193834378,-3.050019312,-6.097980078
ST7,1.440840221,0.572831856,0.256315313,0.270283496,0.402887298,1.556181252,0.569848012,-0.614094687,0.493347221,0.857687273,-0.140785713,2.090623627,1.841841292,-2.407749345,1.76565612,1.57377878,2.728932933,2.159476511,2.869727756,0.997785695,1.037443529,0.20580067
CDC27,5.63695383,6.169914798,4.618152129,4.604751887,5.490796725,5.062739543,6.016154,5.653826941,6.753343098,5.020866398,3.354790469,5.966150052,6.444589732,4.456684451,5.876962762,6.630341416,7.228007256,6.625346404,7.659847341,6.193595531,5.530104631,6.087205089
SLC4A1,1.644168381,1.916063464,0.964852499,2.487760427,1.838656239,2.019405216,0.282749901,0.378600513,0.773934521,3.306063703,1.421634219,2.707662834,3.455876717,0.025210062,2.514770797,3.557170777,2.212141934,5.237001116,3.036699441,2.14439553,2.102627698,2.086895265
CALCR,5.167435819,5.510005019,3.983571696,3.670214103,6.763953787,3.35201483,4.146651989,3.860492123,4.591319808,5.240534016,4.839154538,5.577485183,5.416673112,3.919219367,4.626054131,6.029571422,7.63902596,4.257580885,7.266253744,5.031044315,7.473962622,4.390864269
HCCS,3.286669291,4.327277694,1.693179174,2.014102761,4.001703808,3.256373785,3.028293173,3.612195859,4.013716195,2.882255994,2.055001352,4.323554408,3.544256338,2.782865515,4.561637402,5.129181022,3.517102204,3.625197003,5.842251275,3.656210358,2.530643051,3.903428116
DVL2,-2.920616238,-1.822469425,-2.779308597,-3.385068333,0.208071121,-3.166927542,-2.093117001,-2.11416829,-0.344901709,-2.47529601,-2.759695546,-1.368807992,-2.689081369,-2.528043579,-2.262059258,0.134199096,-2.225263378,-3.442087957,0.275887104,-0.630898183,-5.857374234,-2.39754036
PRSS22,5.67059441,6.335865846,4.72053729,5.269567696,5.881177944,5.663913851,5.616213027,5.473582443,6.303755467,5.593688913,5.218402,7.065685725,6.729887351,5.646882104,7.037701411,6.677812236,7.447044092,5.823917694,7.721959493,6.753603325,5.935822625,5.23461598
UPF1,-1.04614712,-1.591143879,-0.853309178,-2.247564809,-3.359613388,-2.396409388,-1.627453428,-0.501984321,-1.616706324,-0.683882632,-0.923194278,0.619510203,-0.54772552,-1.436895691,-2.72772283,-0.067906311,0.662261893,-1.057424107,-1.128503151,-1.227001242,0.446406514,-1.053585959
SKAP2,3.949748482,2.242683255,1.341706804,0.482828131,0.931063773,1.71427641,1.221924709,1.987769874,1.18055978,0.164114274,1.14719505,2.156775962,1.76648761,-1.32368508,3.1290732,2.467398304,3.46217063,3.510815037,3.467028592,3.387023725,-0.365521138,2.332472474
SLC25A5,1.602945718,1.566857955,0.390616404,1.587624321,1.946773856,2.271130426,2.162024003,1.276184946,1.489266044,1.081652114,1.444176788,1.948458726,2.668470635,0.51063689,1.43838046,3.177163814,2.870661042,2.47279543,3.306288583,2.488841061,1.400013608,1.994777063
MCUB,3.101751575,3.299627051,2.414463146,2.573774342,3.507223958,3.348308482,3.543852804,4.457421848,3.968989067,2.159654626,3.17778337,4.656420893,4.273984695,3.528653033,3.986522688,5.187140012,3.689620008,4.186458843,4.648736046,3.884922936,2.81151075,3.351168567
HOXA11,-2.631109621,-6.346031381,-1.641805073,-5.706996428,-6.16696831,-3.553950665,-2.578543828,-3.784019688,-2.450696373,-2.47529601,-1.174733045,-1.930686879,-2.384226788,-4.72967744,-3.213149657,-2.265207751,-2.431714255,-3.804658036,-2.157072303,-2.12970404,-3.050019312,-6.097980078
POLR2J,2.162124193,2.645490465,0.626683763,1.235518077,2.795927695,2.871023088,2.577960658,2.969652913,2.466610839,1.291869821,1.833828968,2.401509551,2.854632845,2.217521144,3.279771706,4.464119982,2.27298749,2.56041455,3.994299473,2.995990181,2.404720611,3.069438068
DHX33,-2.920616238,-6.346031381,-2.779308597,-3.385068333,-2.997043309,-4.447035461,-2.23750691,-2.199057188,-1.844975312,-4.590773228,-1.479587627,-3.51564938,-2.252982254,-3.881680533,-1.505330409,-1.568599895,0.277236963,-1.326610739,-2.40861107,-3.845911074,-1.465056812,-3.290625156
MEOX1,4.911570537,4.739441078,2.445657768,3.981253881,4.975776966,4.495897885,4.970406486,4.902799139,5.293406209,4.594928164,4.241913707,4.888275646,4.663805909,5.267219686,5.755133134,6.153081085,5.252090149,5.690911506,5.726792852,5.66386393,4.995155275,5.487451974
THSD7A,-0.598688143,-0.368751458,-2.29388177,-2.247564809,-0.809416306,-1.323653045,-0.602791374,0.051169442,-0.824511209,-1.783418306,-0.357597102,-0.65057896,0.342396862,-1.029237722,-0.154255968,1.47300101,-0.577565122,-0.236973527,-0.231072884,-0.145471356,0.618359197,-0.120700154
